Movie,Director,Genre,Gross (millions USD),Rating
Aliens,James Cameron,"Action, Adventure, Sci-Fi",85.16,8.3
X-Men: First Class,Matthew Vaughn,"Action, Adventure, Sci-Fi",146.41,7.7
Star Wars: Episode II - Attack of the Clones,George Lucas,"Action, Adventure, Fantasy",310.68,6.5
Toy Story 2,John Lasseter,"Animation, Adventure, Comedy",245.85,7.9
Cast Away,Robert Zemeckis,"Adventure, Drama, Romance",233.63,7.8
Independence Day,Roland Emmerich,"Action, Adventure, Sci-Fi",306.17,7
Limitless,Neil Burger,"Sci-Fi, Thriller",79.25,7.4
Kick-Ass,Matthew Vaughn,"Action, Comedy, Crime",48.07,7.6
Casablanca,Michael Curtiz,"Drama, Romance, War",1.02,8.5
The Notebook,Nick Cassavetes,"Drama, Romance",81,7.8
The Hateful Eight,Quentin Tarantino,"Crime, Drama, Mystery",54.12,7.8
Superbad,Greg Mottola,Comedy,121.46,7.6
There Will Be Blood,Paul Thomas Anderson,Drama,40.22,8.2
Spider-Man: Homecoming,Jon Watts,"Action, Adventure, Sci-Fi",334.2,7.4
Rocky,John G. Avildsen,"Drama, Sport",117.24,8.1
Zombieland,Ruben Fleischer,"Adventure, Comedy, Fantasy",75.59,7.6
Oldboy,Chan-wook Park,"Action, Drama, Mystery",0.71,8.4
Ocean's Eleven,Steven Soderbergh,"Crime, Thriller",183.42,7.7
Ratatouille,Brad Bird,"Animation, Adventure, Comedy",206.45,8
12 Years a Slave,Solomon Northup,"Biography, Drama, History",56.67,8.1
Batman v Superman: Dawn of Justice,Zack Snyder,"Action, Adventure, Sci-Fi",330.36,6.4
The King's Speech,King George VI,"Biography, Drama, History",138.8,8
Million Dollar Baby,Clint Eastwood,"Drama, Sport",100.49,8.1
District 9,Neill Blomkamp,"Action, Sci-Fi, Thriller",115.65,7.9
Trainspotting,Danny Boyle,Drama,16.5,8.1
Black Panther,Ryan Coogler,"Action, Adventure, Sci-Fi",700.06,7.3
Skyfall,Sam Mendes,"Action, Adventure, Thriller",304.36,7.8
The Social Network,Mark Zuckerberg,"Biography, Drama",96.96,7.7
Life Is Beautiful,Roberto Benigni,"Comedy, Drama, Romance",57.6,8.6
Inside Out,Pete Docter,"Animation, Adventure, Comedy",356.46,8.1
Fargo,Joel Coen,"Crime, Drama, Thriller",24.61,8.1
Pan's Labyrinth,Guillermo del Toro,"Drama, Fantasy, War",37.63,8.2
Shrek,Andrew Adamson,"Animation, Adventure, Comedy",267.67,7.8
Twilight,Catherine Hardwicke,"Drama, Fantasy, Romance",191.47,5.2
Psycho,Alfred Hitchcock,"Horror, Mystery, Thriller",32,8.5
The Matrix Reloaded,Lana Wachowski,"Action, Sci-Fi",281.49,7.2
Men in Black,Barry Sonnenfeld,"Action, Adventure, Comedy",250.69,7.3
Harry Potter and the Order of the Phoenix,David Yates,"Action, Adventure, Family",292,7.5
Shaun of the Dead,Edgar Wright,"Comedy, Horror",13.54,7.9
X2: X-Men United,Bryan Singer,"Action, Sci-Fi, Thriller",214.95,7.4
La La Land,Damien Chazelle,"Comedy, Drama, Music",151.1,8
21 Jump Street,Phil Lord,"Action, Comedy, Crime",138.45,7.2
The Bourne Identity,Doug Liman,"Action, Mystery, Thriller",121.66,7.9
Minority Report,Steven Spielberg,"Action, Crime, Mystery",132.07,7.6
Watchmen,Zack Snyder,"Action, Drama, Mystery",107.51,7.6
Despicable Me,Pierre Coffin,"Animation, Comedy, Crime",251.51,7.6
Monty Python and the Holy Grail,Terry Gilliam,"Adventure, Comedy, Fantasy",1.23,8.2
Spider-Man 3,Sam Raimi,"Action, Adventure, Sci-Fi",336.53,6.2
Blood Diamond,Edward Zwick,"Adventure, Drama, Thriller",57.37,8
Get Out,Jordan Peele,"Horror, Mystery, Thriller",176.04,7.7
The Hunger Games: Catching Fire,Francis Lawrence,"Action, Adventure, Mystery",424.67,7.5
Suicide Squad,David Ayer,"Action, Adventure, Fantasy",325.1,6
Apocalypse Now,Francis Ford Coppola,"Drama, Mystery, War",83.47,8.4
Prisoners,Denis Villeneuve,"Crime, Drama, Mystery",61,8.1
Divergent,Neil Burger,"Action, Adventure, Mystery",150.95,6.6
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"Action, Adventure",317.1,6.1
The Girl with the Dragon Tattoo,David Fincher,"Crime, Drama, Mystery",102.52,7.8
Spotlight,Tom McCarthy,"Biography, Crime, Drama",45.06,8.1
Captain Phillips,Richard Phillips,"Adventure, Biography, Crime",107.1,7.8
The Hurt Locker,Kathryn Bigelow,"Drama, Thriller, War",17.02,7.5
Kung Fu Panda,Mark Osborne,"Animation, Action, Adventure",215.43,7.6
Shrek 2,Andrew Adamson,"Animation, Adventure, Comedy",436.47,7.2
Horrible Bosses,Seth Gordon,"Comedy, Crime",117.54,6.9
Sherlock Holmes: A Game of Shadows,Guy Ritchie,"Action, Adventure, Mystery",186.85,7.5
Mystic River,Clint Eastwood,"Crime, Drama, Mystery",90.14,7.9
The Maze Runner,Wes Ball,"Action, Mystery, Sci-Fi",102.43,6.8
Crash,Paul Haggis,"Crime, Drama, Thriller",54.58,7.7
Elysium,Neill Blomkamp,"Action, Drama, Sci-Fi",93.05,6.6
The Amazing Spider-Man 2,Marc Webb,"Action, Adventure, Fantasy",202.85,6.6
Lost in Translation,Sofia Coppola,"Comedy, Drama",44.59,7.7
Doctor Strange,Scott Derrickson,"Action, Adventure, Fantasy",232.64,7.5
2001: A Space Odyssey,Stanley Kubrick,"Adventure, Sci-Fi",56.95,8.3
The Bourne Ultimatum,Paul Greengrass,"Action, Mystery, Thriller",227.47,8
The Hobbit: The Desolation of Smaug,Peter Jackson,"Adventure, Fantasy",258.37,7.8
World War Z,Marc Forster,"Action, Adventure, Horror",202.36,7
Edge of Tomorrow,Doug Liman,"Action, Adventure, Sci-Fi",100.21,7.9
Thor: The Dark World,Alan Taylor,"Action, Adventure, Fantasy",206.36,6.9
Arrival,Denis Villeneuve,"Drama, Sci-Fi",100.55,7.9
Thor: Ragnarok,Taika Waititi,"Action, Adventure, Comedy",315.06,7.9
Now You See Me,Louis Leterrier,"Crime, Mystery, Thriller",117.72,7.3
Pirates of the Caribbean: At World's End,Gore Verbinski,"Action, Adventure, Fantasy",309.42,7.1
Transformers,Michael Bay,"Action, Adventure, Sci-Fi",319.25,7
Kingsman: The Secret Service,Matthew Vaughn,"Action, Adventure, Comedy",128.26,7.7
The Curious Case of Benjamin Button,David Fincher,"Drama, Fantasy, Romance",127.51,7.8
"I, Robot",Alex Proyas,"Action, Drama, Sci-Fi",144.8,7.1
American Psycho,Mary Harron,"Comedy, Crime, Drama",15.07,7.6
Rise of the Planet of the Apes,Rupert Wyatt,"Action, Drama, Sci-Fi",176.76,7.6
Juno,Jason Reitman,"Comedy, Drama",143.5,7.4
Home Alone,Chris Columbus,"Comedy, Family",285.76,7.6
Troy,Wolfgang Petersen,"Drama, History",133.38,7.3
Deadpool 2,David Leitch,"Action, Adventure, Comedy",324.59,7.7
Oblivion,Joseph Kosinski,"Action, Adventure, Sci-Fi",89.02,7
Source Code,Duncan Jones,"Action, Drama, Mystery",54.71,7.5
Back to the Future Part II,Robert Zemeckis,"Adventure, Comedy, Sci-Fi",118.5,7.8
X-Men: The Last Stand,Brett Ratner,"Action, Adventure, Sci-Fi",234.36,6.7
Spider-Man: Into the Spider-Verse,Bob Persichetti,"Animation, Action, Adventure",190.24,8.4
Rain Man,Barry Levinson,Drama,178.8,8
Beauty and the Beast,Gary Trousdale,"Animation, Family, Fantasy",218.97,8
War of the Worlds,Steven Spielberg,"Adventure, Sci-Fi, Thriller",234.28,6.5
The Day After Tomorrow,Roland Emmerich,"Action, Adventure, Sci-Fi",186.74,6.4
Big Fish,Tim Burton,"Adventure, Drama, Fantasy",66.26,8
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,"Action, Adventure, Sci-Fi",337.14,6.6
Big Hero 6,Don Hall,"Animation, Action, Adventure",222.53,7.8
Fantastic Beasts and Where to Find Them,David Yates,"Adventure, Family, Fantasy",234.04,7.3
A Quiet Place,John Krasinski,"Drama, Horror, Sci-Fi",188.02,7.5
Dawn of the Planet of the Apes,Matt Reeves,"Action, Adventure, Drama",208.55,7.6
The Terminal,Steven Spielberg,"Comedy, Drama, Romance",77.87,7.4
Tangled,Nathan Greno,"Animation, Adventure, Comedy",200.82,7.7
Gangs of New York,Martin Scorsese,"Crime, Drama",77.81,7.5
Parasite,Bong Joon Ho,"Comedy, Drama, Thriller",53.37,8.6
Sherlock Holmes,Guy Ritchie,"Action, Adventure, Mystery",209.03,7.6
Wonder Woman,Patty Jenkins,"Action, Adventure, Fantasy",412.56,7.4
Casino Royale,Martin Campbell,"Action, Adventure, Thriller",167.45,8
Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,"Comedy, Drama",42.34,7.7
Life of Pi,Ang Lee,"Adventure, Drama, Fantasy",124.99,7.9
Heat,Michael Mann,"Crime, Drama, Thriller",67.44,8.2
Jurassic World,Colin Trevorrow,"Action, Adventure, Sci-Fi",652.27,7
Groundhog Day,Harold Ramis,"Comedy, Fantasy, Romance",70.91,8
12 Monkeys,Terry Gilliam,"Mystery, Sci-Fi, Thriller",57.14,8
Guardians of the Galaxy Vol. 2,James Gunn,"Action, Adventure, Comedy",389.81,7.6
Ant-Man,Peyton Reed,"Action, Adventure, Comedy",180.2,7.3
